channel,time
13,298.23
13,298.23
13,298.24
13,298.24
13,298.24
13,298.25
13,298.26
14,1.062
14,8.1952
14,16.528
14,22.856
14,26.872
14,35.569
14,40.368
14,44.743
14,48.235
14,48.989
14,52.74
14,52.754
14,56.437
14,60.23
14,64.133
14,67.575
14,67.577
14,71.254
14,75.112
14,78.738
14,81.968
14,81.976
14,85.031
14,88.093
14,88.107
14,91.564
14,91.572
14,95.011
14,95.026
14,97.847
14,97.87
14,100.68
14,104.1
14,107.28
14,107.3
14,110.8
14,110.81
14,110.81
14,111.36
14,117.27
14,121.74
14,121.76
14,125.5
14,125.51
14,125.53
14,129.4
14,129.4
14,129.42
14,133.01
14,133.02
14,136.64
14,139.87
14,143.19
14,143.2
14,146.59
14,146.59
14,149.81
14,149.82
14,152.85
14,155.93
14,155.93
14,158.85
14,158.85
14,161.73
14,164.16
14,164.18
14,167.19
14,167.19
14,170.33
14,170.33
14,170.35
14,170.88
14,170.89
14,170.92
14,171.43
14,171.45
14,176.37
14,176.37
14,176.39
14,180.12
14,180.14
14,183.54
14,183.55
14,187.04
14,187.05
14,187.06
14,187.07
14,191.04
14,191.04
14,191.04
14,191.05
14,194.77
14,198.17
14,198.17
14,198.18
14,198.19
14,201.12
14,201.13
14,201.16
14,204.34
14,207.42
14,207.42
14,210.58
14,210.59
14,210.59
14,213.83
14,213.84
14,216.88
14,216.88
14,219.96
14,219.96
14,223.1
14,223.11
14,223.12
14,223.12
14,226.49
14,226.5
14,229.64
14,232.89
14,232.89
14,232.9
14,236.09
14,236.09
14,236.11
14,239.17
14,239.19
14,239.19
14,241.95
14,241.95
14,241.97
14,244.93
14,244.94
14,244.94
14,248.01
14,248.01
14,250.87
14,250.89
14,253.5
14,253.5
14,253.51
14,253.51
14,255.81
14,255.82
14,255.82
14,255.83
14,255.83
14,256.3
14,256.89
14,256.89
14,257.3
14,257.88
14,263.63
14,263.64
14,263.65
14,267.48
14,267.48
14,267.49
14,271.44
14,271.45
14,271.45
14,271.46
14,275.23
14,275.23
14,275.24
14,278.98
14,278.99
14,282.58
14,282.59
14,282.6
14,286.03
14,286.04
14,286.04
14,286.06
14,288.62
14,288.62
14,291.66
14,291.67
14,291.68
14,294.9
14,294.9
14,294.91
14,294.92
14,298.24
14,298.24
15,1.0097
15,1.0111
15,1.015
15,1.0174
15,1.0196
15,1.0244
15,1.0271
15,1.0286
15,1.0318
15,1.0348
15,1.0406
15,1.4098
15,1.4142
15,1.4226
15,1.4259
15,1.4273
15,1.4292
15,1.4338
15,1.4377
15,1.439
15,1.4554
15,8.1294
15,8.1306
15,8.1329
15,8.1357
15,8.1386
15,8.1413
15,8.1428
15,8.1449
15,8.1465
15,8.1538
15,8.1549
15,8.1645
15,8.1655
15,8.1722
15,12.399
15,12.402
15,12.406
15,12.408
15,12.409
15,12.412
15,12.414
15,12.418
15,12.419
15,12.422
15,12.425
15,12.447
15,16.47
15,16.472
15,16.474
15,16.477
15,16.478
15,16.482
15,16.483
15,16.485
15,16.488
15,16.49
15,16.492
15,16.498
15,16.5
15,16.501
15,16.769
15,16.77
15,16.78
15,16.782
15,16.798
15,16.829
15,22.8
15,22.802
15,22.804
15,22.807
15,22.814
15,22.817
15,22.819
15,22.824
15,22.826
15,22.83
15,22.834
15,22.836
15,22.846
15,22.858
15,26.826
15,26.827
15,26.83
15,26.832
15,26.835
15,26.838
15,26.841
15,26.842
15,26.845
15,26.849
15,26.851
15,26.855
15,26.861
15,26.864
15,27.297
15,27.299
15,27.301
15,27.307
15,27.309
15,27.314
15,27.316
15,27.329
15,27.553
15,27.891
15,27.904
15,27.909
15,27.911
15,27.915
15,27.918
15,27.927
15,27.945
15,28.224
15,28.839
15,28.842
15,28.847
15,28.852
15,28.854
15,28.866
15,28.88
15,28.884
15,35.54
15,35.541
15,35.543
15,35.545
15,35.547
15,35.55
15,35.553
15,35.555
15,35.561
15,35.563
15,35.564
15,35.572
15,35.574
15,40.305
15,40.309
15,40.31
15,40.315
15,40.317
15,40.318
15,40.319
15,40.321
15,40.324
15,40.325
15,40.329
15,40.331
15,40.333
15,40.337
15,40.342
15,40.346
15,44.703
15,44.705
15,44.712
15,44.715
15,44.716
15,44.722
15,44.725
15,44.727
15,44.729
15,44.732
15,44.737
15,44.739
15,44.74
15,44.745
15,44.747
15,44.769
15,48.905
15,48.907
15,48.91
15,48.911
15,48.913
15,48.915
15,48.918
15,48.92
15,48.923
15,48.924
15,48.928
15,48.932
15,48.936
15,48.938
15,48.939
15,52.682
15,52.685
15,52.687
15,52.692
15,52.694
15,52.697
15,52.698
15,52.699
15,52.702
15,52.705
15,52.707
15,52.708
15,52.712
15,52.716
15,52.727
15,56.407
15,56.408
15,56.41
15,56.412
15,56.415
15,56.417
15,56.42
15,56.423
15,56.426
15,56.427
15,56.431
15,56.433
15,56.435
15,56.438
15,56.441
15,56.444
15,56.445
15,60.145
15,60.148
15,60.151
15,60.152
15,60.154
15,60.156
15,60.159
15,60.16
15,60.161
15,60.163
15,60.169
15,60.17
15,60.172
15,60.178
15,60.18
15,64.055
15,64.056
15,64.059
15,64.061
15,64.062
15,64.065
15,64.068
15,64.069
15,64.075
15,64.077
